Grid Name,Grid Rows,Grid Columns,Num Of Agents,Num Of Obstacles,Instance Id,A*/SIC Success,A*/SIC Runtime,A*/SIC Solution Cost,A*/SIC Expanded,A*/SIC Generated,A*/SIC Reopened,A*/SIC BPMX boosts,A*/SIC Closed List Hits,A*/SIC Reopened With Old H,A*/SIC H Updated From Other Area,A*/SIC Max expansion delay,A*/SIC Quick Insertions,A*/SIC Quick Insertions Cancelled,A*/SIC Max Group,A*/SIC Solution Depth,
Random Grid,251,211,3,25726,0,1,302.4224,741,284,27248,0,0,4537,0,0,0,284,699,3,0,
Random Grid,251,211,3,25726,1,1,142.4279,426,142,15184,0,0,1137,0,0,0,142,275,3,0,
Random Grid,251,211,3,25726,2,1,100.0125,315,142,11573,0,0,3368,0,0,0,142,258,3,0,
Random Grid,251,211,4,25726,0,1,1719.7461,964,284,139341,0,0,17180,0,0,0,284,1343,4,0,
Random Grid,251,211,4,25726,1,1,550.1969,568,142,78308,0,0,2268,0,0,0,142,673,4,0,
Random Grid,251,211,4,25726,2,1,870.0497,396,142,54117,0,0,12084,0,0,0,142,581,4,0,
Random Grid,251,211,5,25726,0,1,111758.163,1128,284,696417,0,0,77959,0,0,0,284,2381,5,0,
Random Grid,251,211,5,25726,1,1,52253.6948,710,142,390128,0,0,4523,0,0,0,142,1358,5,0,
Random Grid,251,211,5,25726,2,1,22387.6901,418,142,271645,0,0,59356,0,0,0,142,589,5,0,
Random Grid,251,211,5,25726,0,1,113861.6582,1128,284,696417,0,0,77959,0,0,0,284,2381,5,0,
Random Grid,251,211,5,25726,1,1,52418.3776,710,142,390128,0,0,4523,0,0,0,142,1358,5,0,
Random Grid,251,211,5,25726,2,1,22662.2508,418,142,271645,0,0,59356,0,0,0,142,589,5,0,
Random Grid,251,211,7,25726,0,1,125926741.3551,1390,284,17164485,0,0,1860141,0,0,0,284,6315,7,0,
Random Grid,251,211,7,25726,1,1,49020086.9059,972,142,9507260,0,0,24241,0,0,0,142,4576,7,0,
Random Grid,251,211,7,25726,2,1,21839079.1134,418,142,6791125,0,0,1483876,0,0,0,142,590,7,0,
,50,50,5,250,0,1,5371.3594,206,68,134720,0,0,23191,0,0,1,68,290,5,0,
Random Grid,50,50,5,250,1,1,940.406999999999,146,34,68920,0,0,2491,0,0,0,34,204,5,0,
Random Grid,50,50,5,250,2,1,2183.6438,60,36,53475,600,0,22501,0,0,3,35,27,5,0,
,20,20,6,40,0,1,2680.1506,83,17,121974,0,0,2231,0,0,0,17,214,6,0,
Random Grid,20,20,6,40,1,1,1734.8346,51,9,74514,0,0,647,0,0,0,9,68,6,0,
Random Grid,20,20,6,40,2,1,954.965,32,8,54256,0,0,2001,0,0,0,8,29,6,0,
Random Grid,20,20,6,40,0,1,2713.1169,83,17,121974,0,0,2231,0,0,0,17,214,6,0,
Random Grid,20,20,6,40,1,1,1779.424,51,9,74514,0,0,647,0,0,0,9,68,6,0,
Random Grid,20,20,6,40,2,1,1008.4701,32,8,54256,0,0,2001,0,0,0,8,29,6,0,
Random Grid,20,20,6,40,0,1,2819.4404,83,17,121974,0,0,2231,0,0,0,17,214,6,0,
Random Grid,20,20,6,40,1,1,1704.9237,51,9,74514,0,0,647,0,0,0,9,68,6,0,
Random Grid,20,20,6,40,2,1,984.1932,32,8,54256,0,0,2001,0,0,0,8,29,6,0,
,20,20,5,40,0,1,1118.9407,60,18,31678,0,0,2543,0,0,0,18,91,5,0,
Random Grid,20,20,5,40,1,1,458.3729,38,9,17963,0,0,523,0,0,0,9,62,5,0,
Random Grid,20,20,5,40,2,1,204.1305,22,9,14580,0,0,2021,0,0,0,9,7,5,0,
Random Grid,20,20,5,40,0,1,943.9305,60,18,31678,0,0,2543,0,0,0,18,91,5,0,
Random Grid,20,20,5,40,1,1,444.117,38,9,17963,0,0,523,0,0,0,9,62,5,0,
Random Grid,20,20,5,40,2,1,209.446,22,9,14580,0,0,2021,0,0,0,9,7,5,0,
Random Grid,20,20,5,40,0,1,943.2013,60,18,31678,0,0,2543,0,0,0,18,91,5,0,
Random Grid,20,20,1,40,0,1,43.3694,16,16,39,0,0,35,0,0,0,16,11,1,0,
Random Grid,20,20,1,40,0,1,63.5886,16,16,39,0,0,35,0,0,0,16,11,1,0,
Random Grid,20,20,5,40,0,1,865.3462,60,18,31678,0,0,2543,0,0,0,18,91,5,0,
Random Grid,20,20,5,40,1,1,1424.5244,65,28,44239,198,0,11215,0,0,10,24,60,5,0,
Random Grid,20,20,5,40,2,1,143.777399999999,51,11,15926,0,0,425,0,0,0,11,73,5,0,
Random Grid,20,20,1,40,0,1,55.3753000000002,16,16,39,0,0,35,0,0,0,16,11,1,0,
Random Grid,20,20,1,40,0,1,69.2692000000097,16,16,39,0,0,35,0,0,0,16,11,1,0,
Random Grid,20,20,5,40,0,1,837.665799999988,60,18,31678,0,0,2543,0,0,0,18,91,5,0,
Random Grid,20,20,5,40,1,1,1379.17489999998,65,28,44239,198,0,11215,0,0,10,24,60,5,0,
Random Grid,20,20,5,40,2,1,134.276099999988,51,11,15926,0,0,425,0,0,0,11,73,5,0,
Random Grid,20,20,1,40,0,1,37.3013000000001,6,6,15,0,0,12,0,0,0,6,3,1,0,
Random Grid,20,20,5,40,0,1,811.318000000001,60,18,31678,0,0,2543,0,0,0,18,91,5,0,
Random Grid,20,20,5,40,1,1,739.788200000003,64,20,31457,0,0,3504,0,0,3,20,52,5,0,
Random Grid,20,20,5,40,2,1,1011.567,46,36,37764,452,0,16299,0,0,25,24,70,5,0,
Random Grid,20,20,1,40,0,1,38.8727999999974,6,6,15,0,0,12,0,0,0,6,3,1,0,
Random Grid,20,20,5,40,0,1,825.851500000004,60,18,31678,0,0,2543,0,0,0,18,91,5,0,
Random Grid,20,20,5,40,1,1,692.658200000005,64,20,31457,0,0,3504,0,0,3,20,52,5,0,
Random Grid,20,20,5,40,2,1,1038.66660000001,46,36,37764,452,0,16299,0,0,25,24,70,5,0,
Random Grid,20,20,1,40,0,1,59.390800000001,6,6,15,0,0,12,0,0,0,6,3,1,0,
Random Grid,20,20,5,40,0,1,860.9444,60,18,31678,0,0,2543,0,0,0,18,91,5,0,
Random Grid,20,20,5,40,1,1,737.8331,64,20,31457,0,0,3504,0,0,3,20,52,5,0,
Random Grid,20,20,5,40,2,1,1026.7713,46,36,37764,452,0,16299,0,0,25,24,70,5,0,
Random Grid,20,20,1,40,0,1,26.8925999999999,18,18,45,0,0,38,0,0,0,17,4,1,0,
Random Grid,20,20,1,40,0,1,308525.2749,18,18,45,0,0,38,0,0,0,17,4,1,0,
Random Grid,20,20,1,40,0,1,2215.4632,18,18,45,0,0,38,0,0,0,17,4,1,0,
Random Grid,20,20,1,40,0,1,2250.635,18,18,45,0,0,38,0,0,0,17,4,1,0,
Random Grid,20,20,1,40,0,1,1190.6833,18,18,45,0,0,38,0,0,0,17,4,1,0,
Random Grid,20,20,1,40,0,1,974.7623,18,18,45,0,0,38,0,0,0,17,4,1,0,
Random Grid,20,20,1,40,0,1,1507.2814,18,18,45,0,0,38,0,0,0,17,4,1,0,
Random Grid,20,20,1,40,0,1,1263.7278,18,18,45,0,0,38,0,0,0,17,4,1,0,
Random Grid,20,20,1,40,0,1,81013.9299,18,18,45,0,0,38,0,0,0,17,4,1,0,
Random Grid,20,20,1,40,0,1,2654.8505,18,18,45,0,0,38,0,0,0,17,4,1,0,
Random Grid,20,20,1,40,1,1,2909.2706,14,14,36,0,0,28,0,0,0,14,6,1,0,
Random Grid,20,20,1,40,2,1,12856.8654,17,17,42,0,0,35,0,0,0,16,5,1,0,
Random Grid,20,20,1,40,0,1,1292.9141,18,18,45,0,0,38,0,0,0,17,4,1,0,
Random Grid,20,20,1,40,1,1,1293.9227,14,14,36,0,0,28,0,0,0,14,6,1,0,
Random Grid,20,20,1,40,2,1,1191.0902,17,17,42,0,0,35,0,0,0,16,5,1,0,
Random Grid,20,20,1,40,0,1,33021.1859,18,18,45,0,0,38,0,0,0,17,4,1,0,
Random Grid,20,20,1,40,1,1,2865.3668,14,14,36,0,0,28,0,0,0,14,6,1,0,
Random Grid,20,20,1,40,2,1,1709.5969,17,17,42,0,0,35,0,0,0,16,5,1,0,
Random Grid,20,20,1,40,0,1,1623.4712,18,18,45,0,0,38,0,0,0,17,4,1,0,
Random Grid,20,20,1,40,0,1,905.7795,14,14,36,0,0,28,0,0,0,14,6,1,0,
Random Grid,20,20,1,40,0,1,1065.2965,17,17,42,0,0,35,0,0,0,16,5,1,0,
Random Grid,20,20,1,40,0,1,1998.5422,18,18,45,0,0,38,0,0,0,17,4,1,0,
Random Grid,20,20,1,40,0,1,1938.3013,18,18,45,0,0,38,0,0,0,17,4,1,0,
Random Grid,20,20,1,40,1,1,1147.8058,14,14,36,0,0,28,0,0,0,14,6,1,0,
Random Grid,20,20,1,40,2,1,1056.2559,17,17,42,0,0,35,0,0,0,16,5,1,0,
Random Grid,20,20,1,40,3,1,1606.9517,7,7,21,0,0,14,0,0,0,6,3,1,0,
Random Grid,20,20,1,40,4,1,3661.7345,4,4,13,0,0,7,0,0,0,4,3,1,0,
Random Grid,20,20,1,40,0,1,7110.8317,6,6,15,0,0,12,0,0,0,6,3,1,0,
Random Grid,20,20,5,40,0,1,6779.3141,60,18,31678,0,0,2543,0,0,0,18,91,5,0,
Random Grid,20,20,5,40,1,1,1585.7488,31,9,16946,0,0,1180,0,0,0,9,27,5,0,
Random Grid,20,20,5,40,2,1,9741.6284,31,64,55577,150,0,66879,0,0,56,11,26,5,2,
Random Grid,20,20,1,40,0,1,2192.4259,18,18,45,0,0,38,0,0,0,17,4,1,0,
Random Grid,20,20,1,40,1,1,857.4398,14,14,36,0,0,28,0,0,0,14,6,1,0,
Random Grid,20,20,1,40,2,1,900.0081,17,17,42,0,0,35,0,0,0,16,5,1,0,
Random Grid,20,20,1,40,3,1,875.1315,7,7,21,0,0,14,0,0,0,6,3,1,0,
Random Grid,20,20,1,40,4,1,897.2979,4,4,13,0,0,7,0,0,0,4,3,1,0,
Random Grid,20,20,5,40,0,1,1889.4264,60,18,31678,0,0,2543,0,0,0,18,91,5,0,
Random Grid,20,20,5,40,1,1,1946.9986,31,9,16946,0,0,1180,0,0,0,9,27,5,0,
Random Grid,20,20,5,40,2,1,8016.32,31,64,55577,150,0,66879,0,0,56,11,26,5,2,
Random Grid,20,20,1,40,0,1,1944.2794,18,18,45,0,0,38,0,0,0,17,4,1,0,
Random Grid,20,20,1,40,1,1,875.161900000001,14,14,36,0,0,28,0,0,0,14,6,1,0,
Random Grid,20,20,1,40,2,1,1052.2978,17,17,42,0,0,35,0,0,0,16,5,1,0,
Random Grid,20,20,1,40,3,1,666.5044,7,7,21,0,0,14,0,0,0,6,3,1,0,
Random Grid,20,20,1,40,4,1,588.1934,4,4,13,0,0,7,0,0,0,4,3,1,0,
Random Grid,20,20,5,40,0,1,1464.1853,60,18,31678,0,0,2543,0,0,0,18,91,5,0,
Random Grid,20,20,5,40,1,1,1501.1757,31,9,16946,0,0,1180,0,0,0,9,27,5,0,
Random Grid,20,20,5,40,2,1,6733.118,31,64,55577,150,0,66879,0,0,56,11,26,5,2,
Random Grid,20,20,1,40,0,1,1158.0091,18,18,45,0,0,38,0,0,0,17,4,1,0,
Random Grid,20,20,1,40,1,1,1214.8686,14,14,36,0,0,28,0,0,0,14,6,1,0,
Random Grid,20,20,1,40,2,1,684.3423,17,17,42,0,0,35,0,0,0,16,5,1,0,
Random Grid,20,20,1,40,3,1,486.9847,7,7,21,0,0,14,0,0,0,6,3,1,0,
Random Grid,20,20,1,40,4,1,486.805,4,4,13,0,0,7,0,0,0,4,3,1,0,
Random Grid,20,20,5,40,0,1,1350.3002,60,18,31678,0,0,2543,0,0,0,18,91,5,0,
Random Grid,20,20,5,40,1,1,1697.3797,31,9,16946,0,0,1180,0,0,0,9,27,5,0,
Random Grid,20,20,5,40,2,1,6794.7124,31,64,55577,150,0,66879,0,0,56,11,26,5,2,
Random Grid,20,20,1,40,0,1,830.906,18,18,45,0,0,38,0,0,0,17,4,1,0,
Random Grid,20,20,1,40,1,1,847.7996,14,14,36,0,0,28,0,0,0,14,6,1,0,
Random Grid,20,20,1,40,2,1,1024.7229,17,17,42,0,0,35,0,0,0,16,5,1,0,
Random Grid,20,20,1,40,3,1,4633.6475,7,7,21,0,0,14,0,0,0,6,3,1,0,
Random Grid,20,20,1,40,4,1,2476.9557,4,4,13,0,0,7,0,0,0,4,3,1,0,
Random Grid,20,20,5,40,0,1,5375.2674,60,18,31678,0,0,2543,0,0,0,18,91,5,0,
Random Grid,20,20,5,40,1,1,11271.0111,31,9,16946,0,0,1180,0,0,0,9,27,5,0,
Random Grid,20,20,5,40,2,1,6551.209,31,64,55577,150,0,66879,0,0,56,11,26,5,2,
Random Grid,20,20,1,40,0,1,29.4198,18,18,45,0,0,38,0,0,0,17,4,1,0,
Random Grid,20,20,1,40,1,1,0.148499999999999,14,14,36,0,0,28,0,0,0,14,6,1,0,
Random Grid,20,20,1,40,2,1,0.119299999999996,17,17,42,0,0,35,0,0,0,16,5,1,0,
Random Grid,20,20,1,40,3,1,0.0652000000000044,7,7,21,0,0,14,0,0,0,6,3,1,0,
Random Grid,20,20,1,40,4,1,0.070699999999988,4,4,13,0,0,7,0,0,0,4,3,1,0,
Random Grid,20,20,5,40,0,1,907.5493,60,18,31678,0,0,2543,0,0,0,18,91,5,0,
Random Grid,20,20,5,40,1,1,314.537,31,9,16946,0,0,1180,0,0,0,9,27,5,0,
Random Grid,20,20,5,40,2,1,5659.0445,31,64,55577,150,0,66879,0,0,56,11,26,5,2,
Random Grid,20,20,4,40,0,1,73.4549,62,18,7421,0,0,473,0,0,0,18,58,4,0,
Random Grid,20,20,4,40,1,1,20.3674,36,9,4356,0,0,134,0,0,0,9,23,4,0,
Random Grid,20,20,4,40,2,1,17.8168,26,9,3606,0,0,395,0,0,0,9,35,4,0,
Random Grid,20,20,1,40,0,1,29.66,18,18,46,0,0,39,0,0,0,18,4,1,0,
Random Grid,20,20,1,40,1,1,0.127200000000002,14,14,37,0,0,29,0,0,0,14,8,1,0,
Random Grid,20,20,1,40,2,1,0.075099999999992,12,12,37,0,0,24,0,0,0,12,10,1,0,
Random Grid,20,20,1,40,3,1,0.102400000000003,18,18,47,0,0,37,0,0,0,18,10,1,0,
Random Grid,20,20,4,40,0,1,33.2239,62,18,7421,0,0,473,0,0,0,18,58,4,0,
Random Grid,20,20,4,40,1,1,16.7185,31,9,4136,0,0,229,0,0,0,9,12,4,0,
Random Grid,20,20,4,40,2,1,16.6613,31,9,3877,0,0,224,0,0,0,9,35,4,0,
Random Grid,20,20,5,40,0,1,970.5248,60,18,31678,0,0,2543,0,0,0,18,91,5,0,
Random Grid,20,20,5,40,1,1,432.469,38,9,17963,0,0,523,0,0,0,9,62,5,0,
Random Grid,20,20,5,40,2,1,195.1713,22,9,14580,0,0,2021,0,0,0,9,7,5,0,
Random Grid,20,20,6,40,0,1,2478.2049,83,17,121974,0,0,2231,0,0,0,17,214,6,0,
Random Grid,20,20,6,40,1,1,1484.5753,51,9,74514,0,0,647,0,0,0,9,68,6,0,
Random Grid,20,20,6,40,2,1,862.1893,32,8,54256,0,0,2001,0,0,0,8,29,6,0,
Random Grid,20,20,5,40,0,1,895.3353,60,18,31678,0,0,2543,0,0,0,18,91,5,0,
Random Grid,20,20,5,40,1,1,420.6006,38,9,17963,0,0,523,0,0,0,9,62,5,0,
Random Grid,20,20,5,40,2,1,195.1997,22,9,14580,0,0,2021,0,0,0,9,7,5,0,
Random Grid,20,20,1,40,0,1,26.9902,18,18,45,0,0,38,0,0,0,17,4,1,0,
Random Grid,20,20,1,40,1,1,0.149299999999997,14,14,36,0,0,28,0,0,0,14,6,1,0,
Random Grid,20,20,1,40,2,1,0.120499999999993,17,17,42,0,0,35,0,0,0,16,5,1,0,
Random Grid,20,20,1,40,3,1,0.102799999999988,7,7,21,0,0,14,0,0,0,6,3,1,0,
Random Grid,20,20,1,40,4,1,0.0569000000000131,4,4,13,0,0,7,0,0,0,4,3,1,0,
Random Grid,20,20,5,40,0,1,886.124,60,18,31678,0,0,2543,0,0,0,18,91,5,0,
Random Grid,20,20,5,40,1,1,307.2126,31,9,16946,0,0,1180,0,0,0,9,27,5,0,
Random Grid,20,20,5,40,2,1,5792.444,31,64,55577,150,0,66879,0,0,56,11,26,5,2,
Random Grid,20,20,5,40,0,1,938.8686,60,18,31678,0,0,2543,0,0,0,18,91,5,0,
Random Grid,20,20,5,40,1,1,444.0226,38,9,17963,0,0,523,0,0,0,9,62,5,0,
Random Grid,20,20,5,40,2,1,183.6829,22,9,14580,0,0,2021,0,0,0,9,7,5,0,
Random Grid,20,20,5,40,0,1,944.4319,60,18,31678,0,0,2543,0,0,0,18,91,5,0,
Random Grid,20,20,5,40,1,1,414.8521,38,9,17963,0,0,523,0,0,0,9,62,5,0,
Random Grid,20,20,1,40,0,1,28.3275,18,18,45,0,0,38,0,0,0,17,4,1,0,
Random Grid,20,20,1,40,1,1,0.139800000000008,14,14,36,0,0,28,0,0,0,14,6,1,0,
Random Grid,20,20,1,40,2,1,0.1494,17,17,42,0,0,35,0,0,0,16,5,1,0,
Random Grid,20,20,1,40,3,1,0.0801999999999907,7,7,21,0,0,14,0,0,0,6,3,1,0,
Random Grid,20,20,5,40,0,1,923.4853,60,18,31678,0,0,2543,0,0,0,18,91,5,0,
Random Grid,20,20,1,40,0,1,25.4107,18,18,46,0,0,39,0,0,0,18,4,1,0,
Random Grid,20,20,1,40,1,1,0.136699999999991,14,14,37,0,0,29,0,0,0,14,8,1,0,
Random Grid,20,20,1,40,2,1,0.154499999999999,12,12,37,0,0,24,0,0,0,12,10,1,0,
Random Grid,20,20,1,40,3,1,0.110599999999991,18,18,47,0,0,37,0,0,0,18,10,1,0,
Random Grid,20,20,4,40,0,1,40.1615,62,18,7421,0,0,473,0,0,0,18,58,4,0,
Random Grid,20,20,4,40,1,1,18.541,31,9,4136,0,0,229,0,0,0,9,12,4,0,
Random Grid,20,20,4,40,2,1,27.4413999999997,31,9,3877,0,0,224,0,0,0,9,35,4,0,
Random Grid,20,20,1,40,0,1,28.2579,18,18,46,0,0,39,0,0,0,18,4,1,0,
Random Grid,20,20,1,40,1,1,0.136300000000006,14,14,37,0,0,29,0,0,0,14,8,1,0,
Random Grid,20,20,1,40,2,1,0.0814000000000021,12,12,37,0,0,24,0,0,0,12,10,1,0,
Random Grid,20,20,1,40,3,1,0.0939999999999941,18,18,47,0,0,37,0,0,0,18,10,1,0,
Random Grid,20,20,4,40,0,1,49.4138,62,18,7421,0,0,473,0,0,0,18,58,4,0,
Random Grid,20,20,4,40,1,1,17.165,31,9,4136,0,0,229,0,0,0,9,12,4,0,
Random Grid,20,20,4,40,2,1,24.0948,31,9,3877,0,0,224,0,0,0,9,35,4,0,
Random Grid,20,20,1,40,0,1,28.0513,18,18,45,0,0,38,0,0,0,17,4,1,0,
Random Grid,20,20,1,40,1,1,0.139499999999998,14,14,36,0,0,28,0,0,0,14,6,1,0,
Random Grid,20,20,1,40,2,1,0.165099999999995,17,17,42,0,0,35,0,0,0,16,5,1,0,
Random Grid,20,20,1,40,3,1,0.0829999999999984,7,7,21,0,0,14,0,0,0,6,3,1,0,
Random Grid,20,20,1,40,4,1,0.0517999999999859,4,4,13,0,0,7,0,0,0,4,3,1,0,
Random Grid,20,20,5,40,0,1,920.9237,60,18,31678,0,0,2543,0,0,0,18,91,5,0,
Random Grid,20,20,5,40,1,1,317.1041,31,9,16946,0,0,1180,0,0,0,9,27,5,0,
Random Grid,20,20,5,40,2,1,5705.6135,31,64,55577,150,0,66879,0,0,56,11,26,5,2,
Random Grid,20,20,1,40,0,1,31.7701,18,18,46,0,0,39,0,0,0,18,4,1,0,
Random Grid,20,20,1,40,1,1,0.19680000000001,14,14,37,0,0,29,0,0,0,14,8,1,0,
Random Grid,20,20,1,40,2,1,0.119700000000009,12,12,37,0,0,24,0,0,0,12,10,1,0,
Random Grid,20,20,1,40,3,1,0.156800000000004,18,18,47,0,0,37,0,0,0,18,10,1,0,
Random Grid,20,20,4,40,0,1,39.2063,62,18,7421,0,0,473,0,0,0,18,58,4,0,
Random Grid,20,20,4,40,1,1,17.9642,31,9,4136,0,0,229,0,0,0,9,12,4,0,
Random Grid,20,20,4,40,2,1,14.5391,31,9,3877,0,0,224,0,0,0,9,35,4,0,
Random Grid,20,20,1,40,0,1,26.6852,12,12,29,0,0,25,0,0,0,12,7,1,0,
Random Grid,20,20,1,40,1,1,0.170200000000008,17,17,44,0,0,34,0,0,0,17,3,1,0,
Random Grid,20,20,1,40,2,1,0.0789999999999935,6,6,18,0,0,11,0,0,0,6,10,1,0,
Random Grid,20,20,1,40,3,1,0.893600000000006,17,17,44,0,0,34,0,0,0,16,8,1,0,
Random Grid,20,20,1,40,4,1,0.133200000000016,14,14,39,0,0,29,0,0,0,13,9,1,0,
Random Grid,20,20,1,40,5,1,0.087299999999999,17,17,44,0,0,35,0,0,0,16,6,1,0,
Random Grid,20,20,6,40,0,1,2409.9687,83,17,121974,0,0,2231,0,0,0,17,214,6,0,
Random Grid,20,20,6,40,1,1,15090.757,43,35,198921,1994,0,103787,0,0,26,20,73,6,0,
Random Grid,20,20,6,40,2,1,903.3262,40,8,59197,0,0,818,0,0,0,8,44,6,0,
Random Grid,20,20,1,40,0,1,29.6588,18,18,45,0,0,38,0,0,0,17,4,1,0,
Random Grid,20,20,1,40,1,1,0.146600000000007,14,14,36,0,0,28,0,0,0,14,6,1,0,
Random Grid,20,20,1,40,2,1,0.110200000000006,17,17,42,0,0,35,0,0,0,16,5,1,0,
Random Grid,20,20,1,40,3,1,0.0789999999999793,7,7,21,0,0,14,0,0,0,6,3,1,0,
Random Grid,20,20,1,40,4,1,0.0568999999999846,4,4,13,0,0,7,0,0,0,4,3,1,0,
Random Grid,20,20,5,40,0,1,921.6775,60,18,31678,0,0,2543,0,0,0,18,91,5,0,
Random Grid,20,20,5,40,1,1,288.8157,31,9,16946,0,0,1180,0,0,0,9,27,5,0,
Random Grid,20,20,5,40,2,1,5736.1494,31,64,55577,150,0,66879,0,0,56,11,26,5,2,
Random Grid,20,20,1,40,0,1,26.3652,18,18,45,0,0,38,0,0,0,17,4,1,0,
Random Grid,20,20,1,40,1,1,0.263500000000008,14,14,36,0,0,28,0,0,0,14,6,1,0,
Random Grid,20,20,1,40,2,1,0.18719999999999,17,17,42,0,0,35,0,0,0,16,5,1,0,
Random Grid,20,20,1,40,3,1,0.0755000000000052,7,7,21,0,0,14,0,0,0,6,3,1,0,
Random Grid,20,20,1,40,4,1,0.0675999999999988,4,4,13,0,0,7,0,0,0,4,3,1,0,
Random Grid,20,20,5,40,0,1,912.1906,60,18,31678,0,0,2543,0,0,0,18,91,5,0,
Random Grid,20,20,5,40,1,1,322.0815,31,9,16946,0,0,1180,0,0,0,9,27,5,0,
Random Grid,20,20,5,40,2,1,6021.8813,31,64,55577,150,0,66879,0,0,56,11,26,5,2,
Random Grid,20,20,1,40,0,1,34.6852,18,18,45,0,0,38,0,0,0,17,4,1,0,
Random Grid,20,20,1,40,1,1,0.244500000000002,14,14,36,0,0,28,0,0,0,14,6,1,0,
Random Grid,20,20,1,40,2,1,0.135900000000007,17,17,42,0,0,35,0,0,0,16,5,1,0,
Random Grid,20,20,1,40,3,1,0.0730999999999824,7,7,21,0,0,14,0,0,0,6,3,1,0,
Random Grid,20,20,1,40,4,1,0.0635999999999797,4,4,13,0,0,7,0,0,0,4,3,1,0,
Random Grid,20,20,5,40,0,1,933.034,60,18,31678,0,0,2543,0,0,0,18,91,5,0,
Random Grid,20,20,5,40,1,1,285.994200000016,31,9,16946,0,0,1180,0,0,0,9,27,5,0,
Random Grid,20,20,5,40,2,1,5740.2078,31,64,55577,150,0,66879,0,0,56,11,26,5,2,
Random Grid,20,20,1,40,0,1,32.3717,18,18,45,0,0,38,0,0,0,17,4,1,0,
Random Grid,20,20,1,40,1,1,0.176600000000008,14,14,36,0,0,28,0,0,0,14,6,1,0,
Random Grid,20,20,1,40,2,1,0.111399999999989,17,17,42,0,0,35,0,0,0,16,5,1,0,
Random Grid,20,20,1,40,3,1,0.0683999999999969,7,7,21,0,0,14,0,0,0,6,3,1,0,
Random Grid,20,20,1,40,4,1,0.0615999999999985,4,4,13,0,0,7,0,0,0,4,3,1,0,
Random Grid,20,20,5,40,0,1,885.294,60,18,31678,0,0,2543,0,0,0,18,91,5,0,
Random Grid,20,20,5,40,1,1,290.7804,31,9,16946,0,0,1180,0,0,0,9,27,5,0,
Random Grid,20,20,5,40,2,1,5735.7302,31,64,55577,150,0,66879,0,0,56,11,26,5,2,
Random Grid,20,20,1,40,0,1,31.881,18,18,45,0,0,38,0,0,0,17,4,1,0,
Random Grid,20,20,1,40,1,1,0.191200000000009,14,14,36,0,0,28,0,0,0,14,6,1,0,
Random Grid,20,20,1,40,2,1,0.147400000000005,17,17,42,0,0,35,0,0,0,16,5,1,0,
Random Grid,20,20,1,40,3,1,0.0691000000000059,7,7,21,0,0,14,0,0,0,6,3,1,0,
Random Grid,20,20,1,40,4,1,0.0631999999999948,4,4,13,0,0,7,0,0,0,4,3,1,0,
Random Grid,20,20,5,40,0,1,936.0771,60,18,31678,0,0,2543,0,0,0,18,91,5,0,
Random Grid,20,20,5,40,1,1,306.4315,31,9,16946,0,0,1180,0,0,0,9,27,5,0,
Random Grid,20,20,5,40,2,1,5683.6943,31,64,55577,150,0,66879,0,0,56,11,26,5,2,
Random Grid,20,20,1,40,0,1,28.0007,18,18,45,0,0,38,0,0,0,17,4,1,0,
Random Grid,20,20,1,40,1,1,0.160799999999995,14,14,36,0,0,28,0,0,0,14,6,1,0,
Random Grid,20,20,1,40,2,1,0.1648,17,17,42,0,0,35,0,0,0,16,5,1,0,
Random Grid,20,20,1,40,3,1,0.051400000000001,7,7,21,0,0,14,0,0,0,6,3,1,0,
Random Grid,20,20,1,40,4,1,0.0636000000000081,4,4,13,0,0,7,0,0,0,4,3,1,0,
Random Grid,20,20,5,40,0,1,920.565,60,18,31678,0,0,2543,0,0,0,18,91,5,0,
Random Grid,20,20,5,40,1,1,306.9996,31,9,16946,0,0,1180,0,0,0,9,27,5,0,
Random Grid,20,20,1,40,0,1,40.5415999999996,18,18,45,0,0,38,0,0,0,17,4,1,0,
Random Grid,20,20,1,40,1,1,0.309799999999996,14,14,36,0,0,28,0,0,0,14,6,1,0,
Random Grid,20,20,1,40,2,1,0.260000000000218,17,17,42,0,0,35,0,0,0,16,5,1,0,
Random Grid,20,20,1,40,3,1,0.162800000000061,7,7,21,0,0,14,0,0,0,6,3,1,0,
Random Grid,20,20,1,40,4,1,0.0943999999999505,4,4,13,0,0,7,0,0,0,4,3,1,0,
Random Grid,20,20,5,40,0,1,790.166499999999,60,18,31678,0,0,2543,0,0,0,18,91,5,0,
Random Grid,20,20,5,40,1,1,289.161,31,9,16946,0,0,1180,0,0,0,9,27,5,0,
